State.Code,County.Code,Site.Num,State,County,City,Date.Local,NO2.Units,NO2.Mean,O3.Units,O3.Mean,SO2.Units,SO2.Mean,CO.Units,CO.Mean
1,73,23,Alabama,Jefferson,Birmingham,10-01-16,Parts per billion,3.429167,Parts per million,0.020458,Parts per billion,0.127273,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,10-01-16,Parts per billion,3.429167,Parts per million,0.020458,Parts per billion,0.127273,Parts per million,0.141667
1,73,23,Alabama,Jefferson,Birmingham,10-01-16,Parts per billion,3.429167,Parts per million,0.020458,Parts per billion,0.1,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,10-01-16,Parts per billion,3.429167,Parts per million,0.020458,Parts per billion,0.1,Parts per million,0.141667
1,73,23,Alabama,Jefferson,Birmingham,11-01-16,Parts per billion,14.768182,Parts per million,0.013125,Parts per billion,2.825,Parts per million,0.372
1,73,23,Alabama,Jefferson,Birmingham,11-01-16,Parts per billion,14.768182,Parts per million,0.013125,Parts per billion,2.825,Parts per million,0.272222
1,73,23,Alabama,Jefferson,Birmingham,11-01-16,Parts per billion,14.768182,Parts per million,0.013125,Parts per billion,2.933333,Parts per million,0.372
1,73,23,Alabama,Jefferson,Birmingham,11-01-16,Parts per billion,14.768182,Parts per million,0.013125,Parts per billion,2.933333,Parts per million,0.272222
1,73,23,Alabama,Jefferson,Birmingham,12-01-16,Parts per billion,15.204167,Parts per million,0.020833,Parts per billion,1.777273,Parts per million,0.3115
1,73,23,Alabama,Jefferson,Birmingham,12-01-16,Parts per billion,15.204167,Parts per million,0.020833,Parts per billion,1.777273,Parts per million,0.458333
1,73,23,Alabama,Jefferson,Birmingham,12-01-16,Parts per billion,15.204167,Parts per million,0.020833,Parts per billion,1.771429,Parts per million,0.3115
1,73,23,Alabama,Jefferson,Birmingham,12-01-16,Parts per billion,15.204167,Parts per million,0.020833,Parts per billion,1.771429,Parts per million,0.458333
1,73,23,Alabama,Jefferson,Birmingham,13-01-16,Parts per billion,19.373684,Parts per million,0.010708,Parts per billion,1.036364,Parts per million,0.456364
1,73,23,Alabama,Jefferson,Birmingham,13-01-16,Parts per billion,19.373684,Parts per million,0.010708,Parts per billion,1.036364,Parts per million,0.345833
1,73,23,Alabama,Jefferson,Birmingham,13-01-16,Parts per billion,19.373684,Parts per million,0.010708,Parts per billion,1.014286,Parts per million,0.456364
1,73,23,Alabama,Jefferson,Birmingham,13-01-16,Parts per billion,19.373684,Parts per million,0.010708,Parts per billion,1.014286,Parts per million,0.345833
1,73,23,Alabama,Jefferson,Birmingham,14-01-16,Parts per billion,17.304167,Parts per million,0.026042,Parts per billion,1.404545,Parts per million,0.377727
1,73,23,Alabama,Jefferson,Birmingham,14-01-16,Parts per billion,17.304167,Parts per million,0.026042,Parts per billion,1.404545,Parts per million,0.508333
1,73,23,Alabama,Jefferson,Birmingham,14-01-16,Parts per billion,17.304167,Parts per million,0.026042,Parts per billion,1.385714,Parts per million,0.377727
1,73,23,Alabama,Jefferson,Birmingham,14-01-16,Parts per billion,17.304167,Parts per million,0.026042,Parts per billion,1.385714,Parts per million,0.508333
1,73,23,Alabama,Jefferson,Birmingham,15-01-16,Parts per billion,15.008333,Parts per million,0.016333,Parts per billion,0.927273,Parts per million,0.205
1,73,23,Alabama,Jefferson,Birmingham,15-01-16,Parts per billion,15.008333,Parts per million,0.016333,Parts per billion,0.927273,Parts per million,0.208333
1,73,23,Alabama,Jefferson,Birmingham,15-01-16,Parts per billion,15.008333,Parts per million,0.016333,Parts per billion,0.885714,Parts per million,0.205
1,73,23,Alabama,Jefferson,Birmingham,15-01-16,Parts per billion,15.008333,Parts per million,0.016333,Parts per billion,0.885714,Parts per million,0.208333
1,73,23,Alabama,Jefferson,Birmingham,16-01-16,Parts per billion,3.2875,Parts per million,0.02375,Parts per billion,0.209091,Parts per million,0.090455
1,73,23,Alabama,Jefferson,Birmingham,16-01-16,Parts per billion,3.2875,Parts per million,0.02375,Parts per billion,0.209091,Parts per million,0.0875
1,73,23,Alabama,Jefferson,Birmingham,16-01-16,Parts per billion,3.2875,Parts per million,0.02375,Parts per billion,0.185714,Parts per million,0.090455
1,73,23,Alabama,Jefferson,Birmingham,16-01-16,Parts per billion,3.2875,Parts per million,0.02375,Parts per billion,0.185714,Parts per million,0.0875
1,73,23,Alabama,Jefferson,Birmingham,17-01-16,Parts per billion,4.225,Parts per million,0.024792,Parts per billion,0.586364,Parts per million,0.135455
1,73,23,Alabama,Jefferson,Birmingham,17-01-16,Parts per billion,4.225,Parts per million,0.024792,Parts per billion,0.586364,Parts per million,0.104167
1,73,23,Alabama,Jefferson,Birmingham,17-01-16,Parts per billion,4.225,Parts per million,0.024792,Parts per billion,0.571429,Parts per million,0.135455
1,73,23,Alabama,Jefferson,Birmingham,17-01-16,Parts per billion,4.225,Parts per million,0.024792,Parts per billion,0.571429,Parts per million,0.104167
1,73,23,Alabama,Jefferson,Birmingham,18-01-16,Parts per billion,8.104167,Parts per million,0.0225,Parts per billion,0.71,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,18-01-16,Parts per billion,8.104167,Parts per million,0.0225,Parts per billion,0.71,Parts per million,0.138889
1,73,23,Alabama,Jefferson,Birmingham,18-01-16,Parts per billion,8.104167,Parts per million,0.0225,Parts per billion,0.516667,Parts per million,0.145
1,73,23,Alabama,Jefferson,Birmingham,18-01-16,Parts per billion,8.104167,Parts per million,0.0225,Parts per billion,0.516667,Parts per million,0.138889
1,73,23,Alabama,Jefferson,Birmingham,19-01-16,Parts per billion,11.904167,Parts per million,0.021125,Parts per billion,2.086364,Parts per million,0.187727
1,73,23,Alabama,Jefferson,Birmingham,19-01-16,Parts per billion,11.904167,Parts per million,0.021125,Parts per billion,2.086364,Parts per million,0.1875
1,73,23,Alabama,Jefferson,Birmingham,19-01-16,Parts per billion,11.904167,Parts per million,0.021125,Parts per billion,2.128571,Parts per million,0.187727
1,73,23,Alabama,Jefferson,Birmingham,19-01-16,Parts per billion,11.904167,Parts per million,0.021125,Parts per billion,2.128571,Parts per million,0.1875
1,73,23,Alabama,Jefferson,Birmingham,20-01-16,Parts per billion,15.120833,Parts per million,0.014708,Parts per billion,1.365,Parts per million,0.216818
1,73,23,Alabama,Jefferson,Birmingham,20-01-16,Parts per billion,15.120833,Parts per million,0.014708,Parts per billion,1.365,Parts per million,0.245833
1,73,23,Alabama,Jefferson,Birmingham,20-01-16,Parts per billion,15.120833,Parts per million,0.014708,Parts per billion,1.1,Parts per million,0.216818
1,73,23,Alabama,Jefferson,Birmingham,20-01-16,Parts per billion,15.120833,Parts per million,0.014708,Parts per billion,1.1,Parts per million,0.245833
1,73,23,Alabama,Jefferson,Birmingham,21-01-16,Parts per billion,12.4625,Parts per million,0.01325,Parts per billion,0.754545,Parts per million,0.21
1,73,23,Alabama,Jefferson,Birmingham,21-01-16,Parts per billion,12.4625,Parts per million,0.01325,Parts per billion,0.754545,Parts per million,0.2
1,73,23,Alabama,Jefferson,Birmingham,21-01-16,Parts per billion,12.4625,Parts per million,0.01325,Parts per billion,0.742857,Parts per million,0.21
1,73,23,Alabama,Jefferson,Birmingham,21-01-16,Parts per billion,12.4625,Parts per million,0.01325,Parts per billion,0.742857,Parts per million,0.2
1,73,23,Alabama,Jefferson,Birmingham,22-01-16,Parts per billion,5.304167,Parts per million,0.022625,Parts per billion,0.136364,Parts per million,0.147273
1,73,23,Alabama,Jefferson,Birmingham,22-01-16,Parts per billion,5.304167,Parts per million,0.022625,Parts per billion,0.136364,Parts per million,0.154167
1,73,23,Alabama,Jefferson,Birmingham,22-01-16,Parts per billion,5.304167,Parts per million,0.022625,Parts per billion,0.128571,Parts per million,0.147273
1,73,23,Alabama,Jefferson,Birmingham,22-01-16,Parts per billion,5.304167,Parts per million,0.022625,Parts per billion,0.128571,Parts per million,0.154167
